Timestamp (ms),acc_x,acc_y,acc_z,label,category,participant,set
2024-11-21 15:11:48.200,0.18972503833333335,-0.031100889000000003,-0.1680864708333333,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:48.400,0.07748385194594594,-0.09510108783783784,-0.11160470081081081,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:48.600,-0.014310156769230767,-0.11848183128205128,-0.06423221093333333,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:48.800,-0.0732718607875,-0.118542199125,-0.09990046225,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:49.000,-0.06649410811111112,,-0.02185237746666667,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:49.200,-0.103460165,-0.1411911575,0.03169180875,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:49.400,-0.07086822683333334,-0.18224982416666666,-0.02266396941666667,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:49.600,0.1348344832631579,-0.16249039115789474,-0.1341206590526316,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:49.800,0.13344646893333334,-0.021047096280000004,-0.011738695933333333,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:50.000,,0.012037420600000003,-0.022143777533333336,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:50.200,0.10999419033333334,0.039784776833333334,-0.18527275033333335,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:50.400,0.13526252833658536,,-0.16807765565853658,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:50.600,-0.04340434779999999,0.1389726872888889,-0.16738239493333332,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:50.800,0.073685103625,0.065272628125,-0.1057309653125,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:51.000,0.12337872849999999,0.014598912,,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:51.200,0.1548039636111111,-0.023930489222222226,-0.16614946711111112,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:51.400,0.09292097260615385,-0.07324078584615384,-0.1701155316923077,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:51.600,-0.047788909185185184,-0.1566044225925926,-0.052002107577777776,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:51.800,-0.10431767635294117,-0.15366590141176473,-0.012954910617647059,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:52.000,-0.05958208512820513,-0.18300541923076924,-0.021585434957948717,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:52.200,-0.015275569181818181,,-0.03733609918181818,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:52.400,0.06667273210526316,-0.1673445437894737,-0.13205366053684212,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:52.600,,-0.03198766793333333,-0.141755031,Arnold-press,Heavy,Razvan,20.0
